"id","YCoordi0te","XCoordi0te","elevation","slope","aspect","region","country","geometry","area","map_class"
63,12.16197233,106.816551,135,0.010754476,2.774540855,"Môndól Kiri","Cambodia","points",1,"Deforestation crops"
90,12.77274481,105.4985699,92,0.008179736,1.653811437,"Kâmpóng Thum","Cambodia","points",1,"Deforestation crops"
110,12.23133793,105.8464999,17,0.000794448,2.593982874,"Krâchéh","Cambodia","points",1,"Deforestation other"
520,13.38697755,106.8658863,101,0.002763997,5.699338628,"Rôtânôkiri","Cambodia","points",1,"Deforestation other"
784,14.07990544,103.2549652,50,0.002371244,0.96175135,"Otdar Mean Chey","Cambodia","points",1,"Deforestation other"
375,12.2356688,106.7278659,138,0.009023221,3.468255388,"Krâchéh","Cambodia","points",1,"Deforestation rubber"
917,12.30147153,106.7261524,167,0.014734875,2.654617111,"Môndól Kiri","Cambodia","points",1,"Deforestation rubber"
773,13.46774245,104.9230282,84,0.002359406,4.654861776,"Preah Vihéar","Cambodia","points",1,"Deforestation rubber"
15,13.83811526,105.4486043,127,0.002791477,2.134780831,"Preah Vihéar","Cambodia","points",1,"Deforestation rubber"
184,10.67948805,103.6168349,84,0.015552168,3.795532833,"Krong Preah Sihanouk","Cambodia","points",1,"Degradation"
670,11.38656948,104.2436129,69,0.004257976,0.468934438,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
195,11.5009663,104.1135691,169,0.02457715,1.365167121,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
806,11.5745824,104.1553754,102,0.008896343,1.078456127,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
909,11.09826918,103.4228089,11,0.006106375,0.368040413,"Kaôh Kong","Cambodia","points",1,"Enhancement"
856,11.24254973,103.4993347,67,0.029831753,3.651413047,"Kaôh Kong","Cambodia","points",1,"Enhancement"
563,13.06877252,105.4244154,96,0.018522919,1.203795156,"Kâmpóng Thum","Cambodia","points",1,"Enhancement"
860,13.64544825,104.287169,94,0.005331575,1.724056847,"Siemréab","Cambodia","points",1,"Forest stable"
654,13.61113887,106.4415754,108,0.003394205,0.040857823,"Stœng Trêng","Cambodia","points",1,"Forest stable"
786,11.49653012,104.1355003,123,0.010863375,1.58328357,"Kâmpóng Spœ","Cambodia","points",1,"Ma0gement"
151,11.25464557,103.7657965,10,0,1.570796327,"Kaôh Kong","Cambodia","points",1,"Non Forest stable"
92,11.99284104,104.3573384,96,0.018223937,1.826639613,"Kâmpóng Chh0ng","Cambodia","points",1,"Non Forest stable"
130,13.61315168,105.2230598,58,0.00403079,4.984989588,"Preah Vihéar","Cambodia","points",1,"Non Forest stable"
228,14.18152567,104.3368521,108,0.014434688,0.213424342,"Otdar Mean Chey","Cambodia","points",1,"Non Forest stable"
